  _elev,_surf |   ailrn,_surf |   ruddr,_surf |   nwhel,steer |   pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag | 
        1.00000 |      -0.99200 |       0.00455 |       0.00000 |      17.89646 |       2.14949 |      67.41236 |      56.08075 |
        1.00000 |       1.00000 |       0.00311 |       0.00000 |      17.69862 |       1.07771 |      67.45148 |      56.11988 |
       -1.00000 |       1.00000 |       0.00204 |       0.00000 |      17.96810 |       1.61553 |      67.57214 |      56.24053 |
       -1.00000 |      -0.99200 |       0.00309 |       0.00000 |      17.24703 |       2.68237 |      67.65206 |      56.32047 |
        1.00000 |      -0.99200 |       0.00388 |       0.00000 |      15.95539 |       2.01030 |      67.65047 |      56.31888 |
        1.00000 |       1.00000 |       0.00280 |       0.00000 |      15.57734 |       1.00952 |      67.70440 |      56.37281 |
        1.00000 |       1.00000 |       0.00199 |       0.00000 |      16.01151 |       1.65606 |      67.83201 |      56.50042 |
       -1.00000 |      -0.99200 |       0.00224 |       0.00000 |      16.72843 |       2.70913 |      67.98219 |      56.65060 |
       -1.00000 |      -0.99200 |       0.00158 |       0.00000 |      16.52171 |       2.18242 |      68.10123 |      56.76965 |
        1.00000 |       1.00000 |       0.00028 |       0.00000 |      15.56896 |       1.12484 |      68.25571 |      56.92413 |
        1.00000 |       1.00000 |      -0.00000 |       0.00000 |      15.34742 |       1.74803 |      68.45443 |      57.12286 |
        0.11917 |      -0.99200 |       0.00082 |       0.00000 |      15.58283 |       2.76694 |      68.63518 |      57.30360 |
       -1.00000 |      -0.99200 |       0.00060 |       0.00000 |      15.49922 |       2.30972 |      68.81435 |      57.48278 |
        0.40389 |       1.00000 |      -0.00054 |       0.00000 |      14.60011 |       1.29813 |      69.00715 |      57.67558 |
        1.00000 |       1.00000 |      -0.00018 |       0.00000 |      14.00537 |       2.04208 |      69.22608 |      57.89452 |
        1.00000 |      -0.99200 |       0.00120 |       0.00000 |      14.14387 |       2.92602 |      69.41314 |      58.08158 |
       -1.00000 |      -0.99200 |       0.00045 |       0.00000 |      14.41433 |       2.12912 |      69.60316 |      58.27160 |
       -1.00000 |       1.00000 |      -0.00090 |       0.00000 |      13.65419 |       1.21357 |      69.80775 |      58.47620 |
        1.00000 |       1.00000 |       0.00031 |       0.00000 |      12.45216 |       1.96372 |      69.99097 |      58.65943 |
        1.00000 |      -0.99200 |       0.00238 |       0.00000 |      12.09959 |       2.76695 |      70.12649 |      58.79494 |
        1.00000 |      -0.99200 |       0.00173 |       0.00000 |      12.54864 |       1.82969 |      70.25945 |      58.92790 |
        1.00000 |      -0.99200 |      -0.00094 |       0.00000 |      13.54796 |       0.02453 |      70.47346 |      59.14193 |
        1.00000 |      -0.99200 |      -0.00445 |       0.00000 |      14.80308 |      -2.09189 |      70.76599 |      59.43446 |
        1.00000 |      -0.99200 |      -0.00808 |       0.00000 |      16.21958 |      -4.47436 |      71.14227 |      59.81074 |
        1.00000 |      -0.99200 |      -0.01129 |       0.00000 |      17.70902 |      -7.24804 |      71.58150 |      60.24997 |
        1.00000 |      -0.99200 |      -0.01435 |       0.00000 |      19.33307 |     -11.09202 |      72.13839 |      60.80687 |
        1.00000 |      -0.99200 |      -0.01514 |       0.00000 |      20.70709 |     -16.05399 |      72.70923 |      61.37771 |
        1.00000 |      -0.99200 |      -0.01485 |       0.00000 |      21.72993 |     -22.40968 |      73.25511 |      61.92360 |
        1.00000 |      -0.99200 |      -0.01586 |       0.00000 |      22.45916 |     -29.33053 |      73.80984 |      62.47832 |
       -1.00000 |       1.00000 |      -0.01777 |       0.00000 |      22.76018 |     -35.61243 |      74.74072 |      63.40921 |
       -1.00000 |       1.00000 |      -0.01675 |       0.00000 |      22.42532 |     -39.71029 |      76.19005 |      64.85854 |
       -1.00000 |       1.00000 |      -0.01390 |       0.00000 |      21.55615 |     -41.31449 |      78.19280 |      66.86130 |
       -1.00000 |       1.00000 |      -0.00821 |       0.00000 |      20.28599 |     -40.63046 |      80.25826 |      68.92676 |
       -1.00000 |       1.00000 |      -0.00170 |       0.00000 |      18.60812 |     -38.90088 |      82.25282 |      70.92132 |
       -1.00000 |       1.00000 |       0.00499 |       0.00000 |      16.56339 |     -36.76688 |      84.06416 |      72.73266 |
       -1.00000 |       1.00000 |       0.01202 |       0.00000 |      13.97603 |     -34.32470 |      85.76199 |      74.43050 |
       -1.00000 |       1.00000 |       0.01836 |       0.00000 |      11.30101 |     -32.06205 |      87.04523 |      75.71374 |
       -1.00000 |       1.00000 |       0.02463 |       0.00000 |       8.38070 |     -29.81964 |      88.04207 |      76.71059 |
        1.00000 |       1.00000 |       0.03208 |       0.00000 |       5.40586 |     -27.58945 |      88.58179 |      77.25031 |
        1.00000 |       1.00000 |       0.04040 |       0.00000 |       2.91425 |     -25.45773 |      88.38937 |      77.05789 |
        1.00000 |       1.00000 |       0.04969 |       0.00000 |       0.93553 |     -23.33259 |      87.47144 |      76.13997 |
       -0.50847 |       1.00000 |       0.05928 |       0.00000 |      -0.79747 |     -21.23288 |      86.04292 |      74.71145 |
       -1.00000 |       1.00000 |       0.07045 |       0.00000 |      -3.13012 |     -18.88929 |      84.15327 |      72.82181 |
        1.00000 |       1.00000 |       0.08064 |       0.00000 |      -5.37897 |     -16.49588 |      81.79495 |      70.46349 |
        1.00000 |       1.00000 |       0.08931 |       0.00000 |      -6.56207 |     -14.06103 |      78.89575 |      67.56429 |
        1.00000 |       1.00000 |       0.09595 |       0.00000 |      -6.67934 |     -11.37437 |      75.29739 |      63.96593 |
       -1.00000 |       1.00000 |       0.09905 |       0.00000 |      -6.65294 |      -8.57566 |      71.23093 |      59.89948 |
       -1.00000 |       1.00000 |       0.09822 |       0.00000 |      -8.01814 |      -5.88664 |      67.39465 |      56.06320 |
        1.00000 |       1.00000 |       0.09381 |       0.00000 |      -8.94332 |      -3.37018 |      64.00752 |      52.67607 |
        1.00000 |      -0.99200 |       0.08405 |       0.00000 |      -8.44678 |      -2.54028 |      60.43603 |      49.10459 |
       -1.00000 |       1.00000 |       0.06998 |       0.00000 |      -8.10286 |      -2.05144 |      57.42895 |      46.09751 |
       -1.00000 |       1.00000 |       0.05936 |       0.00000 |      -8.95059 |      -0.07656 |      55.05571 |      43.72428 |
        1.00000 |       1.00000 |       0.04860 |       0.00000 |      -9.43297 |       2.69388 |      52.98389 |      41.65246 |
       -1.00000 |      -0.99200 |       0.03718 |       0.00000 |      -8.62187 |       2.99350 |      51.50674 |      40.17531 |
       -1.00000 |      -0.99200 |       0.02357 |       0.00000 |      -8.35991 |       0.90763 |      50.55263 |      39.22121 |
       -1.00000 |       1.00000 |       0.01163 |       0.00000 |      -9.10736 |       0.44479 |      50.15066 |      38.81924 |
        1.00000 |       1.00000 |       0.00149 |       0.00000 |      -9.57354 |       2.02959 |      50.13854 |      38.80713 |
        1.00000 |       1.00000 |      -0.00781 |       0.00000 |      -8.81262 |       4.58659 |      50.56219 |      39.23077 |
       -1.00000 |      -0.99200 |      -0.01743 |       0.00000 |      -8.26876 |       4.96962 |      51.33925 |      40.00784 |
       -1.00000 |       0.67226 |      -0.02570 |       0.00000 |      -8.98481 |       5.18063 |      52.36536 |      41.03395 |
        1.00000 |       1.00000 |      -0.03064 |       0.00000 |      -9.37889 |       7.01676 |      53.64843 |      42.31702 |
        1.00000 |      -0.99200 |      -0.03472 |       0.00000 |      -8.34448 |       7.12715 |      55.26545 |      43.93406 |
       -1.00000 |       1.00000 |      -0.03848 |       0.00000 |      -7.25650 |       7.17240 |      57.10316 |      45.77177 |
